"Date","Price","Open","High","Low","Vol.","Change %"
"02/02/2015","0.800","0.800","0.810","0.800","2.71M","2.56%"
"02/01/2015","0.780","0.780","0.780","0.780","1.99K","-2.50%"
"01/29/2015","0.800","0.790","0.800","0.790","492.13K","0.00%"
"01/27/2015","0.800","0.760","0.800","0.760","228.09K","3.90%"
"01/26/2015","0.770","0.800","0.800","0.770","30.50K","-3.75%"
"01/25/2015","0.800","0.770","0.800","0.770","52.99K","0.00%"
"01/22/2015","0.800","0.780","0.800","0.780","205.88K","0.00%"
"01/21/2015","0.800","0.800","0.800","0.800","0.13K","0.00%"
"01/20/2015","0.800","0.800","0.830","0.800","159.76K","0.00%"
"01/19/2015","0.800","0.800","0.830","0.800","368.35K","-1.23%"
"01/18/2015","0.810","0.820","0.820","0.810","600.75K","-1.22%"
"01/15/2015","0.820","0.810","0.880","0.810","1.10M","2.50%"
"01/14/2015","0.800","0.830","0.900","0.790","851.80K","-4.76%"
"01/13/2015","0.840","0.790","0.840","0.790","685.83K","5.00%"
"01/12/2015","0.800","0.810","0.820","0.800","255.00K","1.27%"
"01/11/2015","0.790","0.770","0.790","0.770","2.12K","-3.66%"
"01/08/2015","0.820","0.830","0.830","0.780","112.98K","-3.53%"
"01/07/2015","0.850","0.800","0.850","0.800","674.01K","10.39%"
"01/06/2015","0.770","0.780","0.780","0.770","100.80K","-1.28%"
"01/05/2015","0.780","0.780","0.800","0.780","376.24K","-2.50%"
"01/04/2015","0.800","0.800","0.800","0.800","350.00K","0.00%"
"12/31/2014","0.800","0.780","0.800","0.780","3.14M","2.56%"
"12/30/2014","0.780","0.800","0.800","0.770","427.37K","-8.24%"
"12/29/2014","0.850","0.840","0.880","0.820","126.86K","4.94%"
"12/28/2014","0.810","0.850","0.850","0.770","130.95K","-3.57%"
"12/25/2014","0.840","0.800","0.880","0.800","124.65K","7.69%"
"12/24/2014","0.780","0.790","0.790","0.780","181.00K","-6.02%"
"12/23/2014","0.830","0.860","0.860","0.770","61.00K","6.41%"
"12/22/2014","0.780","0.860","0.860","0.760","131.42K","-1.27%"
"12/21/2014","0.790","0.760","0.860","0.760","549.38K","-4.82%"
"12/18/2014","0.830","0.870","0.870","0.750","1.34M","3.75%"
"12/17/2014","0.800","0.880","0.880","0.800","80.00K","3.90%"
"12/16/2014","0.770","0.800","0.800","0.770","286.38K","-9.41%"
"12/15/2014","0.850","0.740","0.850","0.740","121.48K","3.66%"
"12/14/2014","0.820","0.860","0.870","0.820","515.28K","-8.89%"
